Size,Cond
4,0.14285714285714285
5,0.3333333333333333
6,0.5319148936170213
7,0.5416666666666666
8,0.5952380952380952
9,0.42028985507246375
10,0.9408138101109741
11,0.5652173913043478
12,0.4888888888888889
13,0.653179190751445
15,0.9931590948956324
16,0.5142857142857142
17,0.9918376865671642
19,0.9912591542641153
20,0.9913100972891282
21,0.6717948717948717
25,0.9293413173652695
26,0.8419319429198683
37,0.9880731003526771
44,0.9781517046956215
47,0.9693100118038416
55,0.9901982960114605
56,0.9847771569360728
61,0.9386829344595652
78,0.9824605362064646
81,0.8186488569226817
125,0.9750330444999266
168,0.9254939050021017
188,0.967690258825346
262,0.9491381240205955
374,0.941898854484518
482,0.9302553911305109
645,0.9030904587630771
656,0.9023657038295647
711,0.8887448226184045
754,0.8855516741305557
773,0.8903645809884836
829,0.8779202254422739
986,0.8529044417354105
1409,0.7974600624169577
1804,0.7758736308769838
1967,0.7445719756578006
2457,0.7037621678505657
2732,0.6790520022134344
3004,0.6706936582393106
3375,0.5873781947046909
3513,0.6128819959964117
3783,0.5988786392135321
3929,0.5647853444609043
4177,0.5376272544516701
5114,0.46778141878327095
5724,0.4717176991068422
6445,0.45579432358240723
6642,0.3999829209327527
6986,0.38978902430083634
7221,0.39133811098045307
7765,0.36260595992885264
8253,0.34718619704080217
8948,0.3166763391266278
9590,0.30095293636227755
10235,0.26449625643818264
10251,0.2672702627886332
10315,0.2659338883819951
10656,0.2551444005133823
10799,0.2576389650388325
11754,0.22738556544334645
11951,0.22957594427521333
12140,0.22533086936435034
12357,0.21598144228985694
13608,0.1876567370187728
13721,0.19042975748638888
14107,0.18079954481679522
14595,0.18203856019717943
15129,0.17560400832688788
18374,0.11267819618598503
18954,0.10751925355741285
3,0.5
4,0.14285714285714285
5,0.3333333333333333
6,0.5319148936170213
7,0.5416666666666666
8,0.5952380952380952
9,0.42028985507246375
10,0.9404466501240695
11,0.5652173913043478
12,0.4888888888888889
13,0.653179190751445
15,0.9671052631578947
16,0.5142857142857142
19,0.9912145316395583
21,0.6666666666666666
25,0.9292141571685663
26,0.8417582417582418
37,0.9879922530664945
43,0.9782719057772362
46,0.9678502879078695
53,0.990725859570544
56,0.9847159643078011
61,0.938082451429474
77,0.9829059829059829
81,0.8182286302780638
123,0.9756779687647299
168,0.9251319957761351
183,0.9710035300050429
253,0.9519166998275633
366,0.944864849963473
472,0.9356671554252199
635,0.9081550425077561
645,0.9101158206012814
698,0.8977963525835866
741,0.8922835601882305
744,0.9043238447890148
763,0.8930803373716896
815,0.8869849752168525
970,0.8617899631020732
1390,0.8117658248918058
1788,0.780581234362486
1948,0.7560136014441039
2438,0.7162052433139731
2713,0.6898277089700804
2984,0.681582357579978
3355,0.599538159764101
3493,0.6240569956447675
3763,0.609508148916178
3909,0.5764880240577449
4157,0.5493044987726449
5094,0.4764837587406565
5704,0.4797600757379702
6425,0.4622610410018915
6622,0.4053417051431137
6966,0.3971151665612356
7201,0.39774435429284716
7745,0.36865812580158697
8233,0.35266596556892427
8928,0.3219961463940876
9570,0.30618995036068486
10215,0.2692137669718977
10231,0.27213029093384716
10295,0.27201223618235115
10636,0.2602242809351307
10779,0.261508438183533
11734,0.23076150627615064
11931,0.2331434684554444
12120,0.23060058764795455
12337,0.22122437464735753
13588,0.19168691840082777
13701,0.19518821574035178
14087,0.18492818740573322
14575,0.1869227056935388
15109,0.17983981806053606
18354,0.11565611009508363
18934,0.11066321262743983
